Country,GDP per capita (USD),Life satisfaction
Russia,26456.39,5.8
Greece,27287.08,5.4
Turkey,28384.99,5.5
Latvia,29932.49,5.9
Hungary,31007.77,5.6
Portugal,32181.15,5.4
Poland,32238.16,6.1
Estonia,35638.42,5.7
Spain,36215.45,6.3
Slovenia,36547.74,5.9
Lithuania,36732.03,5.9
Italy,38992.15,6.0
United Kingdom,41627.13,6.8
France,42025.62,6.5
Finland,47260.8,7.6
Belgium,48210.03,6.9
Sweden,50683.32,7.3
Germany,50922.36,7.0
Austria,51935.6,7.1
Iceland,52279.73,7.5
Netherlands,54209.56,7.4
Denmark,55938.21,7.6
Iran,15500.0,5.0
